Respondent_Serial,comp,treatment,treatment_kantar,treatmentgroup,y,workp,org_strictp,org_weakp,cr1,cr2,cr3,crt,understanding1,understanding2,age,gender,education,indincome,occupation,stortingsvalg,leftp
895,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,0,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,7 Full kontroll,33,Mann,Videregaaende,200.000 - 299.999 kroner,working parttime,Andre partier og lister,TRUE
5979,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,10,100,NA,0,Ja,1 Ingen kontroll,72,Kvinne,Universitet/hoyskole I,Onsker ikke aa svare,retired,Vil ikke oppgi parti,TRUE
3023,2,Base (nw),T2 NO CHOICE – NO WORK,Base,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,68,Mann,Universitet/hoyskole I,600.000 - 699.999 kroner,retired,H,FALSE
2462,1,Forced Choice strong,T4 FORCED CHOICE - WEAK,Forced Choice strong,2,TRUE,FALSE,FALSE,5,5,47,3,NA,1 Ingen kontroll,31,Kvinne,Videregaaende,300.000-399.000 kroner,unemployed,Stemte ikke,TRUE
1576,2,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,55,Mann,Universitet/hoyskole II,1.000.000 kroner eller mer,working fulltime,NA,TRUE
3203,2,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,63,Mann,Grunnskole,300.000-399.000 kroner,working parttime,Ap,TRUE
2020,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,10,100,47,1,Ja,1 Ingen kontroll,23,Kvinne,Universitet/hoyskole I,300.000-399.000 kroner,working fulltime,Ap,TRUE
1885,2,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,52,Kvinne,Universitet/hoyskole II,500.000 - 599.999 kroner,working fulltime,NA,TRUE
329,2,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,NA,TRUE,FALSE,FALSE,NA,NA,NA,0,NA,NA,83,Mann,Universitet/hoyskole I,Under 200.000 kroner,retired,Ap,TRUE
1640,1,Forced Choice (w),T3 FORCED CHOICE,Forced Choice,0,TRUE,TRUE,TRUE,5,5,12,2,NA,7 Full kontroll,56,Mann,Fagutdanning,1.000.000 kroner eller mer,working fulltime,H,FALSE
3053,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,4,FALSE,FALSE,TRUE,105,5,47,2,NA,2,25,Mann,Videregaaende,Onsker ikke aa svare,student,SV,TRUE
2432,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,10,NA,24,0,Vet ikke,1 Ingen kontroll,73,Kvinne,Universitet/hoyskole I,300.000-399.000 kroner,retired,V,TRUE
2195,2,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,51,Kvinne,Videregaaende,200.000 - 299.999 kroner,national insurance,Vil ikke oppgi parti,TRUE
2524,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,5,100,47,2,NA,1 Ingen kontroll,61,Kvinne,Universitet/hoyskole II,500.000 - 599.999 kroner,working fulltime,Sp,TRUE
1542,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,4,TRUE,TRUE,TRUE,10,100,47,1,Ja,1 Ingen kontroll,64,Kvinne,Universitet/hoyskole I,Under 200.000 kroner,retired,Hadde ikke stemmerett,TRUE
2879,2,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,69,Kvinne,Universitet/hoyskole I,300.000-399.000 kroner,national insurance,Ap,TRUE
2623,1,Forced Choice very strong,T5 FORCED CHOICE – STRONG,Forced Choice very strong,4,TRUE,FALSE,FALSE,5,1,47,2,NA,1 Ingen kontroll,22,Kvinne,Videregaaende,Under 200.000 kroner,student,Stemte ikke,TRUE
5082,1,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,0,FALSE,FALSE,TRUE,10,5,47,2,Ja,1 Ingen kontroll,47,Kvinne,Universitet/hoyskole I,400.000 - 499.000 kr,working fulltime,SV,TRUE
6943,1,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,2,FALSE,FALSE,TRUE,5,20,NA,1,NA,1 Ingen kontroll,49,Kvinne,Videregaaende,Under 200.000 kroner,working fulltime,Vil ikke oppgi parti,TRUE
3158,2,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,NA,TRUE,TRUE,TRUE,NA,NA,NA,0,NA,NA,64,Mann,Universitet/hoyskole I,Onsker ikke aa svare,working fulltime,Vil ikke oppgi parti,TRUE
3880,2,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,0,NA,NA,54,Kvinne,Universitet/hoyskole I,NA,working fulltime,NA,TRUE
3683,2,Nominal Choice (nw),T8 NOMINAL CHOICE NO WORK,Nominal Choice,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,57,Mann,Universitet/hoyskole I,500.000 - 599.999 kroner,working fulltime,Ap,TRUE
4724,1,Nominal Choice (w),T7 NOMINAL CHOICE,Nominal Choice,0,TRUE,TRUE,TRUE,5,5,47,3,Ja,1 Ingen kontroll,58,Kvinne,Universitet/hoyskole I,500.000 - 599.999 kroner,working parttime,Ap,TRUE
4920,2,Forced Choice (nw),T6 FORCED CHOICE – NO WORK,Forced Choice,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,83,Kvinne,Fagutdanning,200.000 - 299.999 kroner,retired,Ap,TRUE
3094,2,Base (nw),T2 NO CHOICE – NO WORK,Base,NA,FALSE,FALSE,TRUE,NA,NA,NA,0,NA,NA,53,Mann,Universitet/hoyskole I,600.000 - 699.999 kroner,working fulltime,H,FALSE
