pid,location,sesid,T,lotteryposition,transfer,payment,kull,sex,age,polparty,cr,cr1,cr2,cr3
1,"UiB","FBAKY","2:Nominal choice","G",250,100,"2:Master","female",24,"6:H",0,0,0,0
2,"UiB","FBAKY","1:No choice","Y",200,100,"1:Bachelor","male",22,"6:H",3,1,1,1
3,"UiB","FBAKY","3:Forced choice","Y",400,850,9,"female",20,"2:Ap",2,0,1,1
4,"UiB","FBAKY","1:No choice","Y",400,500,"2:Master","female",23,"2:Ap",3,1,1,1
5,"UiB","FBAKY","3:Forced choice","Y",400,500,"1:Bachelor","female",22,"6:H",0,0,0,0
6,"UiB","FBAKY","1:No choice","Y",300,900,"1:Bachelor","female",21,"2:Ap",0,0,0,0
8,"UiB","FBAKY","2:Nominal choice","Y",400,100,"2:Master","male",24,"5:V",3,1,1,1
9,"UiB","FBAKY","2:Nominal choice","G",400,500,9,"female",20,"5:V",1,0,1,0
10,"UiB","FBAKY","1:No choice","Y",200,500,"1:Bachelor","female",23,"2:Ap",0,0,0,0
11,"UiB","FBAKY","1:No choice","Y",400,500,9,"female",19,"6:H",0,0,0,0
12,"UiB","FBAKY","2:Nominal choice","G",0,100,9,"male",20,"3:Sp",1,0,0,1
14,"UiB","FBAKY","3:Forced choice","Y",300,500,9,"female",21,"6:H",1,1,0,0
15,"UiB","FBAKY","3:Forced choice","S",400,125,9,"female",22,"6:H",0,0,0,0
17,"UiB","FBAKY","2:Nominal choice","G",400,500,"1:Bachelor","female",23,"2:Ap",0,0,0,0
19,"UiB","FBAKY","2:Nominal choice","G",300,900,"1:Bachelor","female",21,"2:Ap",0,0,0,0
20,"UiB","FBAKY","1:No choice","Y",400,500,9,"female",20,"5:V",1,0,0,1
22,"UiB","FBAKY","1:No choice","Y",0,700,"2:Master","female",21,"2:Ap",1,0,0,1
24,"UiB","FBAKY","1:No choice","Y",0,900,"2:Master","male",24,"6:H",2,1,0,1
25,"UiB","FBAKY","2:Nominal choice","Y",400,500,9,"female",24,"blank",1,1,0,0
26,"UiB","FBAKY","3:Forced choice","Y",400,100,"1:Bachelor","female",27,"1:SV",1,0,0,1
27,"UiB","FBAKY","2:Nominal choice","G",0,100,"1:Bachelor","female",21,"6:H",3,1,1,1
28,"UiB","FBAKY","3:Forced choice","Y",0,100,9,"female",21,"6:H",0,0,0,0
30,"UiB","FBAKY","2:Nominal choice","Y",200,500,"1:Bachelor","male",22,"6:H",2,0,1,1
32,"UiB","FBAKY","1:No choice","Y",0,300,"1:Bachelor","male",22,"4:Krf",1,0,0,1
33,"UiB","FBAKY","2:Nominal choice","Y",0,100,"1:Bachelor","male",20,"5:V",0,0,0,0
34,"UiB","FBAKY","1:No choice","Y",400,900,"1:Bachelor","female",21,"6:H",0,0,0,0
36,"UiB","TCLEN","2:Nominal choice","G",400,500,"1:Bachelor","male",22,"2:Ap",1,0,1,0
37,"UiB","TCLEN","1:No choice","Y",400,600,"1:Bachelor","male",23,"6:H",1,1,0,0
38,"UiB","TCLEN","2:Nominal choice","Y",100,450,9,"female",27,"2:Ap",0,0,0,0
39,"UiB","TCLEN","1:No choice","Y",200,500,"1:Bachelor","male",23,"other party",2,1,1,0
40,"UiB","TCLEN","1:No choice","Y",400,400,"1:Bachelor","male",21,"2:Ap",2,1,0,1
42,"UiB","TCLEN","3:Forced choice","Y",300,200,9,"male",21,"6:H",2,1,1,0
43,"UiB","TCLEN","1:No choice","Y",300,500,"2:Master","female",24,"other party",0,0,0,0
44,"UiB","TCLEN","3:Forced choice","Y",0,450,"1:Bachelor","male",21,"2:Ap",3,1,1,1
45,"UiB","TCLEN","2:Nominal choice","Y",350,500,9,"female",21,"2:Ap",3,1,1,1
46,"UiB","TCLEN","3:Forced choice","Y",400,100,"1:Bachelor","female",22,"2:Ap",1,0,0,1
49,"UiB","TCLEN","2:Nominal choice","G",400,900,"1:Bachelor","male",21,"6:H",0,0,0,0
50,"UiB","TCLEN","3:Forced choice","Y",350,100,"1:Bachelor","male",22,"2:Ap",1,0,0,1
51,"UiB","TCLEN","1:No choice","Y",400,500,"1:Bachelor","female",24,"other party",0,0,0,0
52,"UiB","TCLEN","1:No choice","Y",400,500,9,"male",19,"2:Ap",0,0,0,0
53,"UiB","TCLEN","3:Forced choice","Y",0,800,"1:Bachelor","male",23,"2:Ap",1,0,0,1
54,"UiB","TCLEN","2:Nominal choice","G",0,500,"1:Bachelor","male",19,"7:Frp",0,0,0,0
55,"UiB","TCLEN","1:No choice","Y",400,500,"1:Bachelor","male",22,"7:Frp",0,0,0,0
56,"UiB","TCLEN","1:No choice","Y",400,500,"1:Bachelor","male",18,"6:H",1,1,0,0
58,"UiB","TCLEN","1:No choice","Y",400,500,"1:Bachelor","female",37.25,"5:V",0,0,0,0
59,"UiB","TCLEN","2:Nominal choice","G",300,550,"2:Master","female",23,"blank",1,1,0,0
61,"UiB","TCLEN","3:Forced choice","Y",0,100,"1:Bachelor","male",22,"other party",1,1,0,0
62,"UiB","TCLEN","2:Nominal choice","Y",400,900,"1:Bachelor","male",23,"2:Ap",3,1,1,1
63,"UiB","TCLEN","2:Nominal choice","Y",400,600,"1:Bachelor","male",21,"5:V",0,0,0,0
64,"UiB","TCLEN","3:Forced choice","Y",400,100,"2:Master","male",24,"1:SV",2,1,0,1
65,"UiB","TCLEN","1:No choice","Y",300,500,9,"female",19,"5:V",1,0,0,1
66,"UiB","TCLEN","3:Forced choice","Y",200,550,"1:Bachelor","female",18,"7:Frp",0,0,0,0
67,"UiB","TCLEN","2:Nominal choice","G",400,400,"1:Bachelor","male",23,"5:V",1,0,1,0
69,"UiB","TCLEN","2:Nominal choice","Y",0,500,"1:Bachelor","male",23,"2:Ap",0,0,0,0
71,"UiB","TCLEN","3:Forced choice","Y",100,100,"1:Bachelor","male",21,"6:H",1,0,0,1
72,"UiB","WTXLD","1:No choice","Y",400,500,"2:Master","male",25,"5:V",3,1,1,1
73,"UiB","WTXLD","1:No choice","Y",100,500,"1:Bachelor","female",21,"1:SV",2,0,1,1
74,"UiB","WTXLD","2:Nominal choice","G",200,500,9,"female",30,"other party",1,0,0,1
75,"UiB","WTXLD","2:Nominal choice","Y",400,500,"1:Bachelor","female",21,"6:H",0,0,0,0
76,"UiB","WTXLD","2:Nominal choice","G",0,900,"1:Bachelor","female",22,"6:H",2,0,1,1
77,"UiB","WTXLD","3:Forced choice","Y",300,500,"1:Bachelor","male",21,"2:Ap",2,1,1,0
78,"UiB","WTXLD","3:Forced choice","Y",300,500,"2:Master","female",24,"6:H",3,1,1,1
79,"UiB","WTXLD","1:No choice","Y",400,800,9,"female",19,"5:V",2,1,1,0
80,"UiB","WTXLD","3:Forced choice","Y",400,600,"2:Master","female",23,"6:H",2,1,1,0
81,"UiB","WTXLD","3:Forced choice","Y",400,500,"1:Bachelor","male",21,"5:V",1,0,1,0
82,"UiB","WTXLD","1:No choice","Y",400,500,"1:Bachelor","male",24,"other party",3,1,1,1
83,"UiB","WTXLD","2:Nominal choice","G",0,500,"2:Master","male",28,"6:H",2,0,1,1
84,"UiB","WTXLD","1:No choice","Y",400,500,"2:Master","female",26,"blank",2,1,1,0
85,"UiB","WTXLD","2:Nominal choice","G",0,900,9,"male",22,"5:V",1,0,0,1
86,"UiB","WTXLD","3:Forced choice","Y",0,500,"2:Master","male",26,"2:Ap",2,0,1,1
87,"UiB","WTXLD","3:Forced choice","S",400,125,9,"female",19,"2:Ap",2,1,1,0
88,"UiB","WTXLD","2:Nominal choice","G",400,900,"1:Bachelor","male",23,"5:V",3,1,1,1
89,"UiB","WTXLD","1:No choice","Y",400,500,"2:Master","male",28,"2:Ap",3,1,1,1
90,"UiB","WTXLD","3:Forced choice","Y",400,400,"1:Bachelor","female",21,"blank",1,1,0,0
91,"UiB","WTXLD","2:Nominal choice","G",300,100,"1:Bachelor","male",21,"1:SV",1,0,0,1
92,"UiB","WTXLD","1:No choice","Y",400,900,"1:Bachelor","male",21,"5:V",3,1,1,1
93,"UiB","WTXLD","2:Nominal choice","G",750,100,"1:Bachelor","female",19,"7:Frp",1,0,0,1
96,"UiB","WTXLD","3:Forced choice","Y",0,100,9,"female",20,"6:H",3,1,1,1
97,"UiB","WTXLD","2:Nominal choice","Y",400,500,"1:Bachelor","female",23,"other party",0,0,0,0
98,"UiB","WTXLD","1:No choice","Y",300,500,"1:Bachelor","male",21,"6:H",3,1,1,1
100,"UiB","WTXLD","2:Nominal choice","G",400,100,9,"male",23,"7:Frp",1,0,0,1
101,"UiB","WTXLD","3:Forced choice","Y",200,100,"1:Bachelor","female",21,"1:SV",2,1,1,0
102,"UiB","WTXLD","1:No choice","Y",400,200,9,"male",22,"6:H",3,1,1,1
103,"UiB","WTXLD","3:Forced choice","Y",400,100,"2:Master","male",25,"5:V",3,1,1,1
105,"UiB","WTXLD","1:No choice","Y",0,500,9,"female",37.25,"other party",1,1,0,0
106,"UiB","WTXLD","1:No choice","Y",400,500,"1:Bachelor","male",37.25,"6:H",0,0,0,0
108,"UiB","NQQFO","1:No choice","Y",300,500,"1:Bachelor","female",21,"5:V",2,1,1,0
109,"UiB","NQQFO","3:Forced choice","S",400,125,"1:Bachelor","female",24,"4:Krf",1,0,0,1
110,"UiB","NQQFO","2:Nominal choice","Y",0,500,"2:Master","female",24,"3:Sp",3,1,1,1
111,"UiB","NQQFO","1:No choice","Y",400,500,"2:Master","female",23,"2:Ap",1,0,0,1
112,"UiB","NQQFO","3:Forced choice","Y",0,500,"1:Bachelor","male",19,"5:V",3,1,1,1
113,"UiB","NQQFO","3:Forced choice","Y",400,400,"1:Bachelor","male",22,"2:Ap",2,0,1,1
114,"UiB","NQQFO","1:No choice","Y",400,500,"1:Bachelor","female",22,"blank",1,1,0,0
115,"UiB","NQQFO","2:Nominal choice","G",400,400,"1:Bachelor","female",23,"5:V",2,1,0,1
116,"UiB","NQQFO","2:Nominal choice","G",400,700,"1:Bachelor","female",19,"6:H",0,0,0,0
117,"UiB","NQQFO","1:No choice","Y",300,500,"1:Bachelor","female",21,"4:Krf",1,0,1,0
118,"UiB","NQQFO","2:Nominal choice","Y",300,300,"1:Bachelor","female",21,"6:H",0,0,0,0
119,"UiB","NQQFO","1:No choice","Y",300,400,"1:Bachelor","female",23,"3:Sp",0,0,0,0
120,"UiB","NQQFO","1:No choice","Y",400,100,9,"female",21,"5:V",2,1,1,0
121,"UiB","NQQFO","3:Forced choice","Y",0,500,"1:Bachelor","male",22,"6:H",3,1,1,1
